"white","black","hispanic","poverty","density","age65plus","population2014","population2010","clinton","trump","romney","obama","asian","highschool","bachelor","income","immigrant","foreign_lang","household_size","female","age18under","landarea","veteran","county_name","fips","state_abbr"
0.779,0.187,0.027,12.1,91.8,0.138,55395,54571,0.239568549531649,0.73435789302948,0.726337362499477,0.265757664477812,0.011,0.856,0.209,53682,0.016,0.035,2.71,0.514,0.252,594.44,5922,"Autauga County",1001,"AL"
0.871,0.096,0.046,13.9,114.6,0.187,200111,182265,0.195653098097566,0.773514719948985,0.773897491410552,0.215665741045795,0.009,0.891,0.277,50221,0.036,0.055,2.52,0.512,0.222,1589.78,19346,"Baldwin County",1003,"AL"
0.502,0.476,0.045,26.7,31,0.165,26887,27457,0.46660250240616,0.522714148219442,0.483375512697443,0.512522907758094,0.005,0.737,0.134,32911,0.029,0.05,2.66,0.466,0.212,884.88,2120,"Barbour County",1005,"AL"
0.763,0.221,0.021,18.1,36.8,0.148,22506,22919,0.214220393232739,0.769661636945588,0.730663806459302,0.262185675128113,0.002,0.775,0.121,36447,0.012,0.021,3.03,0.459,0.21,622.58,1327,"Bibb County",1007,"AL"
0.96,0.018,0.087,15.8,88.9,0.17,57719,57322,0.0846990230066183,0.898518751969745,0.864929107589658,0.12347789824854,0.003,0.77,0.121,44145,0.043,0.073,2.7,0.505,0.236,644.78,4540,"Blount County",1009,"AL"
0.269,0.701,0.075,21.6,17.5,0.149,10764,10915,0.750904062965327,0.242288874707509,0.235050770966529,0.763068822865739,0.003,0.678,0.125,32033,0.054,0.052,2.73,0.453,0.214,622.81,636,"Bullock County",1011,"AL"
0.539,0.44,0.012,28.4,27,0.18,20296,20946,0.427864133563615,0.563154864709269,0.535800906886007,0.460508277971106,0.009,0.763,0.14,29918,0.008,0.017,2.47,0.536,0.236,776.83,1497,"Butler County",1013,"AL"
0.758,0.211,0.035,21.9,195.7,0.16,115916,118586,0.278558763931104,0.692396994258696,0.654671280276817,0.335207612456747,0.009,0.786,0.161,39962,0.024,0.045,2.54,0.518,0.222,605.87,11385,"Calhoun County",1015,"AL"
0.583,0.395,0.02,24.1,57.4,0.183,34076,34170,0.418275511685295,0.566337639715488,0.521631644004944,0.470608432907568,0.008,0.751,0.118,32402,0.011,0.013,2.46,0.523,0.214,596.53,2691,"Chambers County",1017,"AL"
0.93,0.046,0.015,21.2,46.9,0.209,26037,25986,0.145101399600114,0.838712748738456,0.767749206023973,0.217805552709763,0.003,0.783,0.128,34907,0.007,0.011,2.2,0.502,0.204,553.7,2174,"Cherokee County",1019,"AL"
0.871,0.106,0.077,19.5,63,0.152,43931,43631,0.159353601752944,0.825417693782525,0.797866238384765,0.194504990248939,0.004,0.76,0.129,41250,0.052,0.074,2.67,0.508,0.242,692.85,3308,"Chilton County",1021,"AL"
0.566,0.424,0.008,21.5,15.2,0.208,13323,13858,0.427765547605944,0.564391854705559,0.521029504080352,0.475204017576899,0.003,0.752,0.118,33941,0.003,0.013,2.45,0.525,0.206,913.5,938,"Choctaw County",1023,"AL"
0.54,0.442,0.013,29.3,20.9,0.18,24945,25840,0.441558441558442,0.549551638837353,0.539741086280466,0.456859767122297,0.005,0.783,0.112,29357,0.003,0.013,2.63,0.528,0.226,1238.47,1583,"Clarke County",1025,"AL"
0.828,0.145,0.034,19,23.1,0.194,13552,13932,0.18776628119294,0.795800365185636,0.723192771084337,0.266566265060241,0.003,0.765,0.092,34002,0.022,0.033,2.38,0.506,0.216,603.96,1076,"Clay County",1027,"AL"
0.945,0.036,0.025,18.4,26.7,0.184,15080,14972,0.104715248009798,0.878444580526638,0.836083782926055,0.154078070453824,0.002,0.76,0.09,38019,0.015,0.023,2.64,0.504,0.233,560.1,989,"Cleburne County",1029,"AL"
